name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
BinningMax_RegAddr,Integer,,BinningMax_RegAddr,,,,,,,
BinningSelectorAddressOffset,IntSwissKnife,,BinningSelectorAddressOffset,,,,,,,
BinningSelector_Int,Integer,,BinningSelector_Int,,,,,,,
BinningVertical_Val,IntConverter,,BinningVertical_Val,,,,,,,
Binning_Horizontal_Ava,IntSwissKnife,,Binning_Horizontal_Ava,,,,,,,
Binning_Reg,IntReg,,Binning_Reg,,RW,,,,,
Binning_Selector_Inq,IntSwissKnife,,Binning_Selector_Inq,,,,,,,
Binning_Vertical_Ava,IntSwissKnife,,Binning_Vertical_Ava,,,,,,,
BitRegionSelector_Reg,IntReg,,BitRegionSelector_Reg,,RW,,,,,
BitRegionSelector_RegAddr,Integer,,BitRegionSelector_RegAddr,,,,,,,
BlackLevelAutoLocked_Int,IntSwissKnife,,BlackLevelAutoLocked_Int,,,,,,,
BlackLevelAuto_Reg,IntReg,,BlackLevelAuto_Reg,,RW,,,,,
BlackLevelAuto_RegAddr,Integer,,BlackLevelAuto_RegAddr,,,,,,,
BlackLevelCtrl_Reg,IntReg,,BlackLevelCtrl_Reg,,RW,,,,,
BlackLevelCtrl_RegAddr,Integer,,BlackLevelCtrl_RegAddr,,,,,,,
BlackLevelImplemented_Int,IntSwissKnife,,BlackLevelImplemented_Int,,,,,,,
BlackLevelInq_RegAddr,Integer,,BlackLevelInq_RegAddr,,,,,,,
BlackLevelLocked_Int,IntSwissKnife,,BlackLevelLocked_Int,,,,,,,
BlackLevelMaxInq_Reg,IntReg,,BlackLevelMaxInq_Reg,,RO,,,,,
BlackLevelMaxInq_RegAddr,Integer,,BlackLevelMaxInq_RegAddr,,,,,,,
BlackLevelMinInq_Reg,IntReg,,BlackLevelMinInq_Reg,,RO,,,,,
BlackLevelMinInq_RegAddr,Integer,,BlackLevelMinInq_RegAddr,,,,,,,
BlackLevelRaw,Integer,,Black Level Raw,,,Analog black level in percent.,BlackLevelMinInq_Reg,BlackLevelMaxInq_Reg,,
BlackLevel_Reg,IntReg,,BlackLevel_Reg,,RW,,,,,
BlackLevel_RegAddr,Integer,,BlackLevel_RegAddr,,,,,,,
BoardDeviceType_Reg,IntReg,,BoardDeviceType_Reg,,RO,,,,,
BoardDeviceType_RegAddr,Integer,,BoardDeviceType_RegAddr,,,,,,,
BrightnessInq_RegAddr,Integer,,BrightnessInq_RegAddr,,,,,,,
BrightnessMaxInq_Reg,IntReg,,BrightnessMaxInq_Reg,,RO,,,,,
BrightnessMaxInq_RegAddr,Integer,,BrightnessMaxInq_RegAddr,,,,,,,
BrightnessMinInq_Reg,IntReg,,BrightnessMinInq_Reg,,RO,,,,,
BrightnessMinInq_RegAddr,Integer,,BrightnessMinInq_RegAddr,,,,,,,
BrightnessUintInq_Reg,IntReg,,BrightnessUintInq_Reg,,RO,,,,,
BrightnessUintInq_RegAddr,Integer,,BrightnessUintInq_RegAddr,,,,,,,
Brightness_Reg,IntReg,,Brightness_Reg,,RW,,,,,
Brightness_RegAddr,Integer,,Brightness_RegAddr,,,,,,,
CCMEnable_Reg,IntReg,,CCMEnable_Reg,,RW,,,,,
CCMEnable_RegAddr,Integer,,CCMEnable_RegAddr,,,,,,,
CHAP_RegAddr,Integer,,CHAP_RegAddr,,,,,,,
Category_Inq_RegAddr,Integer,,Category_Inq_RegAddr,,,,,,,
ChannelCorrectMode_Reg,IntReg,,ChannelCorrectMode_Reg,,RW,,,,,
ChannelCorrectMode_RegAddr,Integer,,ChannelCorrectMode_RegAddr,,,,,,,
ChannelSelectorValue,Integer,,ChannelSelectorValue,,,,,,,
ChannelSelector_RegAddrOffSet,IntSwissKnife,,ChannelSelector_RegAddrOffSet,,,,,,,
ChunkBrightnessInfo_Reg,IntReg,,ChunkBrightnessInfo_Reg,,RO,,,,,
ChunkDataSupThirdPartyClient,IntSwissKnife,,ChunkDataSupThirdPartyClient,,,,,,,
ChunkEnable_Bit,IntConverter,,ChunkEnable_Bit,,,,,,,
ChunkEnable_Reg,IntReg,,ChunkEnable_Reg,,RW,,,,,
ChunkEnable_RegAddr,Integer,,ChunkEnable_RegAddr,,,,,,,
ChunkExposure_Reg,IntReg,,ChunkExposure_Reg,,RO,,,,,
ChunkExtTriggerCount_Reg,IntReg,,ChunkExtTriggerCount_Reg,,RO,,,,,
ChunkFrameCounter_Reg,IntReg,,ChunkFrameCounter_Reg,,RO,,,,,
ChunkGain_Reg,IntReg,,ChunkGain_Reg,,RO,,,,,
ChunkHeight_Reg,IntReg,,ChunkHeight_Reg,,RO,,,,,
ChunkImage_Reg,IntReg,,ChunkImage_Reg,,RO,,,,,
ChunkLineInputOutput_Reg,IntReg,,ChunkLineInputOutput_Reg,,RO,,,,,
